start_time,machine_id,metric_value
2024-06-27 02:22:00,1,0.0017111977
2024-06-27 02:22:15,1,0.0012979114
2024-06-27 02:22:30,1,0.0018713417
2024-06-27 02:22:45,1,0.0012554222
2024-06-27 02:23:00,1,0.0012449448
2024-06-27 02:23:15,1,0.0012264246
2024-06-27 02:23:30,1,0.0014099915
2024-06-27 02:23:45,1,0.0007024475
2024-06-27 02:24:00,1,0.0016763405
2024-06-27 02:24:15,1,0.0014197261
2024-06-27 02:24:30,1,0.006740998
2024-06-27 02:24:45,1,0.009393562
2024-06-27 02:25:00,1,0.016466934
2024-06-27 02:25:15,1,0.12377882
2024-06-27 02:25:30,1,0.09597322
2024-06-27 02:25:45,1,0.068238124
2024-06-27 02:26:00,1,0.0014027585
2024-06-27 02:26:15,1,0.0009820038
2024-06-27 02:26:30,1,0.0015864387
2024-06-27 02:26:45,1,0.0020164996
2024-06-27 02:27:00,1,0.00097125414
2024-06-27 02:27:15,1,0.0007052225
2024-06-27 02:27:30,1,0.0008491103
2024-06-27 02:27:45,1,0.0007940151
2024-06-27 02:28:00,1,0.0015227927
2024-06-27 02:28:15,1,0.001264387
2024-06-27 02:28:30,1,0.0011634914
2024-06-27 02:28:45,1,0.0012720607
2024-06-27 02:29:00,1,0.0011383375
2024-06-27 02:29:15,1,0.0002585827
2024-06-27 02:29:30,1,0.0059705013
2024-06-27 02:29:45,1,0.014873032
2024-06-27 02:30:00,1,0.040149402
2024-06-27 02:30:15,1,0.12058654
2024-06-27 02:30:30,1,0.0881182
2024-06-27 02:30:45,1,0.04178151
2024-06-27 02:31:00,1,0.0007641321
2024-06-27 02:31:15,1,0.00133184
2024-06-27 02:31:30,1,0.0016487397
2024-06-27 02:31:45,1,0.0009965819
2024-06-27 02:32:00,1,0.0008394364
2024-06-27 02:32:15,1,0.03325752
2024-06-27 02:32:30,1,0.06093182
2024-06-27 02:32:45,1,0.14882752
2024-06-27 02:33:00,1,0.22411022
2024-06-27 02:33:15,1,0.31578755
2024-06-27 02:33:30,1,0.4356671
2024-06-27 02:33:45,1,0.26542562
2024-06-27 02:34:00,1,0.23140681
2024-06-27 02:34:15,1,0.27006605
2024-06-27 02:34:30,1,0.29499736
2024-06-27 02:34:45,1,0.38206965
2024-06-27 02:35:00,1,0.5265065
2024-06-27 02:35:15,1,0.66318494
2024-06-27 02:35:30,1,0.7173507
2024-06-27 02:35:45,1,0.8502687
2024-06-27 02:36:00,1,0.63245386
2024-06-27 02:36:15,1,0.7370503
2024-06-27 02:36:30,1,0.85765654
2024-06-27 02:36:45,1,0.66777134
2024-06-27 02:37:00,1,0.6331248
2024-06-27 02:37:15,1,1.096664
2024-06-27 02:37:30,1,1.7299739
2024-06-27 02:37:45,1,1.4212096
2024-06-27 02:38:00,1,0.9865083
2024-06-27 02:38:15,1,1.0966712
2024-06-27 02:38:30,1,1.2277094
2024-06-27 02:38:45,1,0.87678105
2024-06-27 02:39:00,1,1.0383078
2024-06-27 02:39:15,1,1.2604364
2024-06-27 02:39:30,1,1.3854741
2024-06-27 02:39:45,1,1.1931039
2024-06-27 02:40:00,1,0.9624961
2024-06-27 02:40:15,1,0.61420494
2024-06-27 02:40:30,1,0.638135
2024-06-27 02:40:45,1,0.6042471
2024-06-27 02:41:00,1,0.5926505
2024-06-27 02:41:15,1,0.7857149
2024-06-27 02:41:30,1,0.46707895
2024-06-27 02:41:45,1,0.6244502
2024-06-27 02:42:00,1,0.4874494
2024-06-27 02:42:15,1,0.1704797
2024-06-27 02:42:30,1,0.263443
2024-06-27 02:42:45,1,0.25621784
2024-06-27 02:43:00,1,0.16628489
2024-06-27 02:43:15,1,0.16742118
2024-06-27 02:43:30,1,0.23591428
2024-06-27 02:43:45,1,0.14689346
2024-06-27 02:44:00,1,0.29508495
2024-06-27 02:44:15,1,0.33822015
2024-06-27 02:44:30,1,0.30409497
2024-06-27 02:44:45,1,0.322076
2024-06-27 02:45:00,1,0.3231406
2024-06-27 02:45:15,1,0.22334684
2024-06-27 02:45:30,1,0.26534122
2024-06-27 02:45:45,1,0.5116739
2024-06-27 02:46:00,1,0.47892538
2024-06-27 02:46:15,1,0.7997144
2024-06-27 02:46:30,1,0.9631986
2024-06-27 02:46:45,1,0.7895393
2024-06-27 02:47:00,1,0.89340395
2024-06-27 02:47:15,1,0.38263816
2024-06-27 02:47:30,1,0.63123995
2024-06-27 02:47:45,1,0.89890105
2024-06-27 02:48:00,1,1.0169443
2024-06-27 02:48:15,1,1.1921458
2024-06-27 02:48:30,1,0.8611318
2024-06-27 02:48:45,1,1.6800939
2024-06-27 02:49:00,1,1.4671266
2024-06-27 02:49:15,1,0.9375762
2024-06-27 02:49:30,1,1.1829951
2024-06-27 02:49:45,1,1.0552667
2024-06-27 02:50:00,1,1.1410599
2024-06-27 02:50:15,1,1.2816621
2024-06-27 02:50:30,1,1.2966527
2024-06-27 02:50:45,1,1.1889678
2024-06-27 02:51:00,1,0.7021096
2024-06-27 02:51:15,1,0.75942445
2024-06-27 02:51:30,1,0.6213644
2024-06-27 02:51:45,1,0.67018384
2024-06-27 02:52:00,1,0.83757114
2024-06-27 02:52:15,1,0.6941931
2024-06-27 02:52:30,1,0.47606072
2024-06-27 02:52:45,1,0.5590913
2024-06-27 02:53:00,1,0.4404657
2024-06-27 02:53:15,1,0.2959726
2024-06-27 02:53:30,1,0.27297437
2024-06-27 02:53:45,1,0.2302025
2024-06-27 02:54:00,1,0.2477206
2024-06-27 02:54:15,1,0.20385058
2024-06-27 02:54:30,1,0.13318662
2024-06-27 02:54:45,1,0.1916395
2024-06-27 02:55:00,1,0.22472857
