start_time,machine_id,metric_value
2024-07-06 03:03:15,1,2.7282038
2024-07-06 03:03:30,1,1650.0782
2024-07-06 03:03:45,1,699.32367
2024-07-06 03:04:00,1,666.6087
2024-07-06 03:04:15,1,1028.6095
2024-07-06 03:04:30,1,853.6429
2024-07-06 03:04:45,1,935.8301
2024-07-06 03:05:00,1,1228.6064
2024-07-06 03:05:15,1,1154.7511
2024-07-06 03:05:30,1,1115.917
2024-07-06 03:05:45,1,1144.6241
2024-07-06 03:06:00,1,967.2451
2024-07-06 03:06:15,1,1253.3594
2024-07-06 03:06:30,1,1246.2885
2024-07-06 03:06:45,1,1030.4304
2024-07-06 03:07:00,1,994.4842
2024-07-06 03:07:15,1,1129.1592
2024-07-06 03:07:30,1,1202.8618
2024-07-06 03:07:45,1,968.2241
2024-07-06 03:08:00,1,833.2671
2024-07-06 03:08:15,1,859.13043
2024-07-06 03:08:30,1,1085.2263
2024-07-06 03:08:45,1,1248.3578
2024-07-06 03:09:00,1,1316.2972
2024-07-06 03:09:15,1,1379.302
2024-07-06 03:09:30,1,1446.3904
2024-07-06 03:09:45,1,1597.4164
2024-07-06 03:10:00,1,1800.2451
2024-07-06 03:10:15,1,1697.5658
2024-07-06 03:10:30,1,1597.6726
2024-07-06 03:10:45,1,2238.2883
2024-07-06 03:11:00,1,2140.1868
2024-07-06 03:11:15,1,1662.1824
2024-07-06 03:11:30,1,1471.8041
2024-07-06 03:11:45,1,1557.665
2024-07-06 03:12:00,1,2319.399
2024-07-06 03:12:15,1,2445.7466
2024-07-06 03:12:30,1,2400.7314
2024-07-06 03:12:45,1,1990.2552
2024-07-06 03:13:00,1,2699.807
2024-07-06 03:13:15,1,3005.3962
2024-07-06 03:13:30,1,2240.2927
2024-07-06 03:13:45,1,2261.4087
2024-07-06 03:14:00,1,2294.945
2024-07-06 03:14:15,1,2437.5215
2024-07-06 03:14:30,1,2411.5107
2024-07-06 03:14:45,1,2796.568
2024-07-06 03:15:00,1,3084.0422
2024-07-06 03:15:15,1,2515.7415
2024-07-06 03:15:30,1,3065.5754
2024-07-06 03:15:45,1,2703.597
2024-07-06 03:16:00,1,2785.743
2024-07-06 03:16:15,1,2816.8406
2024-07-06 03:16:30,1,3159.5854
2024-07-06 03:16:45,1,2679.7803
2024-07-06 03:17:00,1,2693.5813
2024-07-06 03:17:15,1,2298.638
2024-07-06 03:17:30,1,2226.2036
2024-07-06 03:17:45,1,2355.033
2024-07-06 03:18:00,1,2934.0178
2024-07-06 03:18:15,1,2533.64
2024-07-06 03:18:30,1,2058.1958
2024-07-06 03:18:45,1,1850.7659
2024-07-06 03:19:00,1,1660.4165
2024-07-06 03:19:15,1,1665.1244
2024-07-06 03:19:30,1,1770.7189
2024-07-06 03:19:45,1,1588.7568
2024-07-06 03:20:00,1,1362.1602
2024-07-06 03:20:15,1,1405.3376
2024-07-06 03:20:30,1,1154.3928
2024-07-06 03:20:45,1,1014.8338
2024-07-06 03:21:00,1,720.2645
2024-07-06 03:21:15,1,429.48355
2024-07-06 03:21:30,1,821.1352
2024-07-06 03:21:45,1,738.14777
2024-07-06 03:22:00,1,796.4274
2024-07-06 03:22:15,1,786.79376
2024-07-06 03:22:30,1,1081.7069
2024-07-06 03:22:45,1,870.52185
2024-07-06 03:23:00,1,659.76294
2024-07-06 03:23:15,1,581.3991
2024-07-06 03:23:30,1,461.64444
2024-07-06 03:23:45,1,684.3147
2024-07-06 03:24:00,1,954.28723
2024-07-06 03:24:15,1,774.5776
2024-07-06 03:24:30,1,806.8775
2024-07-06 03:24:45,1,644.34174
2024-07-06 03:25:00,1,757.3049
2024-07-06 03:25:15,1,781.6404
2024-07-06 03:25:30,1,876.96
2024-07-06 03:25:45,1,769.98376
2024-07-06 03:26:00,1,829.95337
2024-07-06 03:26:15,1,976.91943
2024-07-06 03:26:30,1,1064.0111
2024-07-06 03:26:45,1,1069.0999
2024-07-06 03:27:00,1,927.3438
2024-07-06 03:27:15,1,1138.0367
2024-07-06 03:27:30,1,1394.4475
2024-07-06 03:27:45,1,1357.0361
2024-07-06 03:28:00,1,1237.5686
2024-07-06 03:28:15,1,1385.0974
2024-07-06 03:28:30,1,1687.7697
2024-07-06 03:28:45,1,1495.4923
2024-07-06 03:29:00,1,1420.3461
2024-07-06 03:29:15,1,1607.8663
2024-07-06 03:29:30,1,1623.3551
2024-07-06 03:29:45,1,2113.3767
2024-07-06 03:30:00,1,1839.8176
2024-07-06 03:30:15,1,1957.4591
2024-07-06 03:30:30,1,1686.6447
2024-07-06 03:30:45,1,1761.3557
2024-07-06 03:31:00,1,2090.244
2024-07-06 03:31:15,1,1890.9602
2024-07-06 03:31:30,1,1945.157
2024-07-06 03:31:45,1,2173.0803
2024-07-06 03:32:00,1,2126.2026
2024-07-06 03:32:15,1,2076.562
2024-07-06 03:32:30,1,1907.3853
2024-07-06 03:32:45,1,2098.6196
2024-07-06 03:33:00,1,2250.928
2024-07-06 03:33:15,1,2546.4905
2024-07-06 03:33:30,1,2675.1418
2024-07-06 03:33:45,1,2461.3047
2024-07-06 03:34:00,1,2335.0317
2024-07-06 03:34:15,1,2194.376
2024-07-06 03:34:30,1,2213.7527
2024-07-06 03:34:45,1,2192.0918
2024-07-06 03:35:00,1,2014.8987
2024-07-06 03:35:15,1,2019.7074
2024-07-06 03:35:30,1,2035.0359
2024-07-06 03:35:45,1,2204.3699
2024-07-06 03:36:00,1,2008.7029
2024-07-06 03:36:15,1,1831.3838
2024-07-06 03:36:30,1,1699.0205
2024-07-06 03:36:45,1,1631.3076
2024-07-06 03:37:00,1,815.9705
2024-07-06 03:37:15,1,39.335754
