start_time,machine_id,metric_value
2024-07-06 03:03:15,1,0.6625999
2024-07-06 03:03:30,1,13.853094
2024-07-06 03:03:45,1,54.294712
2024-07-06 03:04:00,1,87.330574
2024-07-06 03:04:15,1,154.52779
2024-07-06 03:04:30,1,137.45009
2024-07-06 03:04:45,1,162.42369
2024-07-06 03:05:00,1,182.3667
2024-07-06 03:05:15,1,179.94525
2024-07-06 03:05:30,1,158.00493
2024-07-06 03:05:45,1,145.0964
2024-07-06 03:06:00,1,129.64314
2024-07-06 03:06:15,1,152.35483
2024-07-06 03:06:30,1,169.72588
2024-07-06 03:06:45,1,150.54752
2024-07-06 03:07:00,1,120.9416
2024-07-06 03:07:15,1,126.11215
2024-07-06 03:07:30,1,163.17216
2024-07-06 03:07:45,1,157.01204
2024-07-06 03:08:00,1,154.70274
2024-07-06 03:08:15,1,162.1662
2024-07-06 03:08:30,1,171.1856
2024-07-06 03:08:45,1,191.7725
2024-07-06 03:09:00,1,215.29959
2024-07-06 03:09:15,1,205.5743
2024-07-06 03:09:30,1,196.99738
2024-07-06 03:09:45,1,223.08875
2024-07-06 03:10:00,1,253.10632
2024-07-06 03:10:15,1,253.63731
2024-07-06 03:10:30,1,236.64902
2024-07-06 03:10:45,1,258.97888
2024-07-06 03:11:00,1,286.23563
2024-07-06 03:11:15,1,281.1997
2024-07-06 03:11:30,1,272.87326
2024-07-06 03:11:45,1,294.28647
2024-07-06 03:12:00,1,317.70135
2024-07-06 03:12:15,1,340.73297
2024-07-06 03:12:30,1,353.7396
2024-07-06 03:12:45,1,330.79776
2024-07-06 03:13:00,1,315.4449
2024-07-06 03:13:15,1,335.3871
2024-07-06 03:13:30,1,368.6556
2024-07-06 03:13:45,1,375.22467
2024-07-06 03:14:00,1,366.2918
2024-07-06 03:14:15,1,386.11893
2024-07-06 03:14:30,1,399.8769
2024-07-06 03:14:45,1,409.08005
2024-07-06 03:15:00,1,396.10007
2024-07-06 03:15:15,1,408.0088
2024-07-06 03:15:30,1,438.93994
2024-07-06 03:15:45,1,457.83844
2024-07-06 03:16:00,1,469.7321
2024-07-06 03:16:15,1,459.8287
2024-07-06 03:16:30,1,442.6834
2024-07-06 03:16:45,1,433.08823
2024-07-06 03:17:00,1,440.86722
2024-07-06 03:17:15,1,423.81665
2024-07-06 03:17:30,1,396.2016
2024-07-06 03:17:45,1,399.03146
2024-07-06 03:18:00,1,407.69995
2024-07-06 03:18:15,1,387.30963
2024-07-06 03:18:30,1,360.95865
2024-07-06 03:18:45,1,343.97403
2024-07-06 03:19:00,1,319.2677
2024-07-06 03:19:15,1,321.76294
2024-07-06 03:19:30,1,336.65286
2024-07-06 03:19:45,1,294.23834
2024-07-06 03:20:00,1,250.18571
2024-07-06 03:20:15,1,208.11641
2024-07-06 03:20:30,1,183.3446
2024-07-06 03:20:45,1,158.10507
2024-07-06 03:21:00,1,141.50586
2024-07-06 03:21:15,1,101.18594
2024-07-06 03:21:30,1,135.90536
2024-07-06 03:21:45,1,154.97366
2024-07-06 03:22:00,1,156.10753
2024-07-06 03:22:15,1,165.26675
2024-07-06 03:22:30,1,196.74329
2024-07-06 03:22:45,1,183.93419
2024-07-06 03:23:00,1,142.08499
2024-07-06 03:23:15,1,132.34515
2024-07-06 03:23:30,1,112.339516
2024-07-06 03:23:45,1,136.6444
2024-07-06 03:24:00,1,165.75943
2024-07-06 03:24:15,1,156.92155
2024-07-06 03:24:30,1,146.01727
2024-07-06 03:24:45,1,146.41855
2024-07-06 03:25:00,1,159.75139
2024-07-06 03:25:15,1,164.31561
2024-07-06 03:25:30,1,163.77147
2024-07-06 03:25:45,1,163.22745
2024-07-06 03:26:00,1,170.0497
2024-07-06 03:26:15,1,194.55983
2024-07-06 03:26:30,1,216.13945
2024-07-06 03:26:45,1,207.25488
2024-07-06 03:27:00,1,195.00981
2024-07-06 03:27:15,1,215.1149
2024-07-06 03:27:30,1,253.03062
2024-07-06 03:27:45,1,247.83047
2024-07-06 03:28:00,1,223.7405
2024-07-06 03:28:15,1,237.84798
2024-07-06 03:28:30,1,289.36398
2024-07-06 03:28:45,1,274.78436
2024-07-06 03:29:00,1,254.99718
2024-07-06 03:29:15,1,273.00613
2024-07-06 03:29:30,1,298.37207
2024-07-06 03:29:45,1,323.62784
2024-07-06 03:30:00,1,343.1703
2024-07-06 03:30:15,1,345.4257
2024-07-06 03:30:30,1,312.01617
2024-07-06 03:30:45,1,337.3556
2024-07-06 03:31:00,1,363.6311
2024-07-06 03:31:15,1,367.69598
2024-07-06 03:31:30,1,363.83517
2024-07-06 03:31:45,1,376.6125
2024-07-06 03:32:00,1,392.57867
2024-07-06 03:32:15,1,394.086
2024-07-06 03:32:30,1,375.8395
2024-07-06 03:32:45,1,398.2804
2024-07-06 03:33:00,1,429.65527
2024-07-06 03:33:15,1,454.27768
2024-07-06 03:33:30,1,470.94638
2024-07-06 03:33:45,1,457.19852
2024-07-06 03:34:00,1,435.6623
2024-07-06 03:34:15,1,430.2971
2024-07-06 03:34:30,1,435.96738
2024-07-06 03:34:45,1,420.7636
2024-07-06 03:35:00,1,396.0627
2024-07-06 03:35:15,1,390.72403
2024-07-06 03:35:30,1,406.20535
2024-07-06 03:35:45,1,376.16907
2024-07-06 03:36:00,1,352.0411
2024-07-06 03:36:15,1,326.58603
2024-07-06 03:36:30,1,315.34628
2024-07-06 03:36:45,1,317.60226
2024-07-06 03:37:00,1,153.69972
2024-07-06 03:37:15,1,6.4442267
